target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
P2RY14,17,1,54549,30028272,0.030437256486199424,0.058823529411764705
HERC6,17,1,54549,30028272,0.030437256486199424,0.058823529411764705
ZBED3,17,1,54549,30028272,0.030437256486199424,0.058823529411764705
CXCL5,716,42,54549,30028272,3.8786969915511046e-48,0.05865921787709497
CSF2,258,15,54549,30028272,3.854493321272314e-18,0.05813953488372093
TRIM33,52,3,54549,30028272,0.00012393385842498117,0.057692307692307696
SMCP,156,9,54549,30028272,2.0182289279521595e-11,0.057692307692307696
VPRBP,52,3,54549,30028272,0.00012393385842498117,0.057692307692307696
ITGA4,139,8,54549,30028272,2.7009735376132297e-10,0.05755395683453238
MXD1,35,2,54549,30028272,0.0018866776665108778,0.05714285714285714
CXCR2,2016,115,54549,30028272,2.4440791936577688e-127,0.05704365079365079
CCL20,1387,78,54549,30028272,1.7735410789065863e-86,0.05623648161499639
RBM47,18,1,54549,30028272,0.03219855357447552,0.05555555555555555
ARAP3,36,2,54549,30028272,0.001995251875700826,0.05555555555555555
IL17B,18,1,54549,30028272,0.03219855357447552,0.05555555555555555
SERPINB9,36,2,54549,30028272,0.001995251875700826,0.05555555555555555
IFI44,73,4,54549,30028272,1.0722386955363702e-05,0.0547945205479452
SLAMF1,73,4,54549,30028272,1.0722386955363702e-05,0.0547945205479452
TLR3,3578,190,54549,30028272,2.823412753908698e-203,0.05310229178311906
GBP5,38,2,54549,30028272,0.002221086617266547,0.05263157894736842
GLRX2,19,1,54549,30028272,0.03395665116825145,0.05263157894736842
MDFI,19,1,54549,30028272,0.03395665116825145,0.05263157894736842
TNF,147318,7720,54549,30028272,0.0,0.05240364381813492
CXCL9,1619,83,54549,30028272,1.3722294517816397e-88,0.051266213712168
AIMP1,59,3,54549,30028272,0.00018058283980552827,0.05084745762711865
SELE,158,8,54549,30028272,7.486070594711553e-10,0.05063291139240506
CD207,218,11,54549,30028272,5.155426815121437e-13,0.05045871559633028
IL8,1968,99,54549,30028272,1.6566573659788284e-104,0.05030487804878049
DHRS3,40,2,54549,30028272,0.0024584316269563693,0.05
RTP4,20,1,54549,30028272,0.03571155507947488,0.05
RGS1,182,9,54549,30028272,8.014703540448773e-11,0.04945054945054945
TLR1,1265,62,54549,30028272,1.9816705118581803e-65,0.04901185770750988
BATF3,143,7,54549,30028272,1.0990059798064315e-08,0.04895104895104895
MERTK,389,19,54549,30028272,3.77764357599316e-21,0.04884318766066838
CD58,738,36,54549,30028272,1.2363644260210059e-38,0.04878048780487805
TRAF3IP2,83,4,54549,30028272,1.784265692973949e-05,0.04819277108433735
BTN2A1,21,1,54549,30028272,0.03746327110954616,0.047619047619047616
CCR4,1852,87,54549,30028272,1.6588989720071707e-89,0.04697624190064795
TLR6,682,32,54549,30028272,5.435146868857491e-34,0.0469208211143695
CD53,171,8,54549,30028272,1.3992917982342517e-09,0.04678362573099415
RPL37A,22,1,54549,30028272,0.039211805049335906,0.045454545454545456
TRNT1,22,1,54549,30028272,0.039211805049335906,0.045454545454545456
CR1,3021,137,54549,30028272,8.123589634639746e-138,0.04534922211188348
MARCH1,45,2,54549,30028272,0.0031015832447057186,0.044444444444444446
DARC,318,14,54549,30028272,2.3585443587993828e-15,0.0440251572327044
CXCL11,849,37,54549,30028272,7.05982053432709e-38,0.043580683156654886
SSX2IP,23,1,54549,30028272,0.04095716267915944,0.043478260869565216
CD180,70,3,54549,30028272,0.0002995721383919884,0.04285714285714286
APCS,5987,254,54549,30028272,1.0843385017938704e-246,0.042425254718556876
IL15,335,14,54549,30028272,4.82262111051758e-15,0.041791044776119404
FCGR1A,24,1,54549,30028272,0.0426993497688745,0.041666666666666664
FGD5,24,1,54549,30028272,0.0426993497688745,0.041666666666666664
CD200R1,72,3,54549,30028272,0.0003255048316910025,0.041666666666666664
CDH12,24,1,54549,30028272,0.0426993497688745,0.041666666666666664
GPR116,24,1,54549,30028272,0.0426993497688745,0.041666666666666664
IL22RA2,24,1,54549,30028272,0.0426993497688745,0.041666666666666664
ADAM15,122,5,54549,30028272,3.4355817378756532e-06,0.040983606557377046
CD74,684,28,54549,30028272,2.5750605662364957e-28,0.04093567251461988
IL10,2933,120,54549,30028272,1.0873484310807798e-115,0.040913740197749744
IRAK2,98,4,54549,30028272,3.4321155579243735e-05,0.04081632653061224
FCRL1,25,1,54549,30028272,0.04443837207783401,0.04
TSGA10,25,1,54549,30028272,0.04443837207783401,0.04
MREG,50,2,54549,30028272,0.0038147940565870886,0.04
FAM19A4,25,1,54549,30028272,0.04443837207783401,0.04
HLA-DQB2,25,1,54549,30028272,0.04443837207783401,0.04
CTSK,352,14,54549,30028272,9.497549592610109e-15,0.03977272727272727
SLC11A1,254,10,54549,30028272,6.730500219128125e-11,0.03937007874015748
ANGPTL7,26,1,54549,30028272,0.04617423535493398,0.038461538461538464
KCNA3,26,1,54549,30028272,0.04617423535493398,0.038461538461538464
PPP2R2C,26,1,54549,30028272,0.04617423535493398,0.038461538461538464
WDFY3,26,1,54549,30028272,0.04617423535493398,0.038461538461538464
S100A8,1253,48,54549,30028272,5.202541944100161e-46,0.03830806065442937
IL12A,185,7,54549,30028272,6.454084956159344e-08,0.03783783783783784
SLAMF7,106,4,54549,30028272,4.66565781404459e-05,0.03773584905660377
XCL1,133,5,54549,30028272,5.239345519279e-06,0.03759398496240601
CXCR6,373,14,54549,30028272,2.0940661755648023e-14,0.03753351206434316
IRGM,187,7,54549,30028272,6.9452604006126e-08,0.0374331550802139
PTX3,1020,38,54549,30028272,2.4934715573046713e-36,0.03725490196078431
QPCT,27,1,54549,30028272,0.047906945338634765,0.037037037037037035
NHEJ1,27,1,54549,30028272,0.047906945338634765,0.037037037037037035
ELP6,27,1,54549,30028272,0.047906945338634765,0.037037037037037035
NUDT9,27,1,54549,30028272,0.047906945338634765,0.037037037037037035
SERPINB6,27,1,54549,30028272,0.047906945338634765,0.037037037037037035
GATA2,762,28,54549,30028272,4.895740461701073e-27,0.03674540682414698
CD5L,55,2,54549,30028272,0.004596743285352865,0.03636363636363636
IL36RN,55,2,54549,30028272,0.004596743285352865,0.03636363636363636
CHI3L1,359,13,54549,30028272,2.7729841027468254e-13,0.036211699164345405
TLR5,1367,49,54549,30028272,1.465943422751825e-45,0.03584491587417703
MYD88,6284,225,54549,30028272,1.3452324956791422e-202,0.03580521960534691
PLA2G5,28,1,54549,30028272,0.049636507756957916,0.03571428571428571
ELTD1,28,1,54549,30028272,0.049636507756957916,0.03571428571428571
PROK1,56,2,54549,30028272,0.0047612671155580315,0.03571428571428571
CD1E,56,2,54549,30028272,0.0047612671155580315,0.03571428571428571
NUCKS1,28,1,54549,30028272,0.049636507756957916,0.03571428571428571
IL17RB,28,1,54549,30028272,0.049636507756957916,0.03571428571428571
SORBS2,28,1,54549,30028272,0.049636507756957916,0.03571428571428571
ARG1,1054,37,54549,30028272,1.7179527908311447e-34,0.03510436432637571
NEU4,57,2,54549,30028272,0.004928477379774943,0.03508771929824561
RGS12,57,2,54549,30028272,0.004928477379774943,0.03508771929824561
HLA-DRA,285,10,54549,30028272,2.0633098710859393e-10,0.03508771929824561
CD47,1113,39,54549,30028272,3.094025379567081e-36,0.03504043126684636
ALCAM,373,13,54549,30028272,4.4908522782905107e-13,0.03485254691689008
RGS13,29,1,54549,30028272,0.051362928327524794,0.034482758620689655
SOCS5,87,3,54549,30028272,0.0005668735263576292,0.034482758620689655
IKZF2,29,1,54549,30028272,0.051362928327524794,0.034482758620689655
PRKCD,87,3,54549,30028272,0.0005668735263576292,0.034482758620689655
FGFBP1,29,1,54549,30028272,0.051362928327524794,0.034482758620689655
TLR10,232,8,54549,30028272,1.521930713102791e-08,0.034482758620689655
DDX60,29,1,54549,30028272,0.051362928327524794,0.034482758620689655
S100A9,1103,38,54549,30028272,4.438128004676014e-35,0.03445149592021759
HLA-DMA,59,2,54549,30028272,0.005270918156406427,0.03389830508474576
SLC40A1,148,5,54549,30028272,8.808464646166255e-06,0.033783783783783786
PHLDA3,30,1,54549,30028272,0.05308621134688531,0.03333333333333333
SPON2,30,1,54549,30028272,0.05308621134688531,0.03333333333333333
C1QA,151,5,54549,30028272,9.707562952386344e-06,0.033112582781456956
CD200,608,20,54549,30028272,7.88628114523112e-19,0.03289473684210526
S100A12,489,16,54549,30028272,2.4936981917264286e-15,0.032719836400818
FCRL4,31,1,54549,30028272,0.05480636064884905,0.03225806451612903
CXCR4,10860,350,54549,30028272,1.0220535143720527e-298,0.03222836095764273
IL1R1,218,7,54549,30028272,1.9668680975582334e-07,0.03211009174311927
CD101,63,2,54549,30028272,0.005987593335150884,0.031746031746031744
SP110,63,2,54549,30028272,0.005987593335150884,0.031746031746031744
MIR146A,95,3,54549,30028272,0.0007322943153127264,0.031578947368421054
IL4,2099,66,54549,30028272,3.8323086840590194e-57,0.03144354454502144
SELP,255,8,54549,30028272,3.159211415110042e-08,0.03137254901960784
ANGPTL1,32,1,54549,30028272,0.05652339193832403,0.03125
PROKR1,32,1,54549,30028272,0.05652339193832403,0.03125
IL18RAP,64,2,54549,30028272,0.00617332594184632,0.03125
EFNA5,32,1,54549,30028272,0.05652339193832403,0.03125
IFNLR1,33,1,54549,30028272,0.058237304507787316,0.030303030303030304
GM2A,33,1,54549,30028272,0.058237304507787316,0.030303030303030304
MYCL,67,2,54549,30028272,0.006746117481015202,0.029850746268656716
IL5,536,16,54549,30028272,1.0215645574771699e-14,0.029850746268656716
LAPTM5,34,1,54549,30028272,0.059948100692146865,0.029411764705882353
GYPC,34,1,54549,30028272,0.059948100692146865,0.029411764705882353
GPR125,34,1,54549,30028272,0.059948100692146865,0.029411764705882353
IL12B,483,14,54549,30028272,6.858098520414314e-13,0.028985507246376812
GPR15,104,3,54549,30028272,0.0009517887463148882,0.028846153846153848
IL1B,1563,45,54549,30028272,7.250835076978226e-38,0.028790786948176585
TNFRSF8,35,1,54549,30028272,0.06165579429804546,0.02857142857142857
THBS4,70,2,54549,30028272,0.007342085689083852,0.02857142857142857
NCR3,35,1,54549,30028272,0.06165579429804546,0.02857142857142857
AIF1,105,3,54549,30028272,0.000978460111979715,0.02857142857142857
HLA-DQA2,35,1,54549,30028272,0.06165579429804546,0.02857142857142857
SENP6,35,1,54549,30028272,0.06165579429804546,0.02857142857142857
FCER1A,71,2,54549,30028272,0.007545846267623829,0.028169014084507043
TFPI,1601,45,54549,30028272,2.0286501999098787e-37,0.028107432854465958
