target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
DHX16,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
DEF6,21,3,99703,30028272,4.654889743442517e-05,0.14285714285714285
TBPL1,7,1,99703,30028272,0.023011896304682557,0.14285714285714285
NFKBIZ,51,7,99703,30028272,4.5313888928436714e-10,0.13725490196078433
TRAF5,168,23,99703,30028272,7.407843819807836e-30,0.13690476190476192
INPP5D,52,7,99703,30028272,5.221091740297704e-10,0.1346153846153846
RASGRP3,67,9,99703,30028272,1.7625719287476707e-12,0.13432835820895522
ACKR4,15,2,99703,30028272,0.001124736402524142,0.13333333333333333
IL7R,255,34,99703,30028272,5.749919667908906e-43,0.13333333333333333
TNFRSF14,83,11,99703,30028272,7.005480324901697e-15,0.13253012048192772
TNFAIP3,576,75,99703,30028272,6.472284227473342e-92,0.13020833333333334
MCL1,643,81,99703,30028272,6.550461988141556e-98,0.12597200622083982
AGMAT,8,1,99703,30028272,0.02625579484160799,0.125
TCEB3,8,1,99703,30028272,0.02625579484160799,0.125
TRIM62,16,2,99703,30028272,0.0012825780631701737,0.125
SPATA6,8,1,99703,30028272,0.02625579484160799,0.125
NDUFB4,8,1,99703,30028272,0.02625579484160799,0.125
PARP14,40,5,99703,30028272,2.4100169962146587e-07,0.125
SERPINI2,8,1,99703,30028272,0.02625579484160799,0.125
ATP5I,8,1,99703,30028272,0.02625579484160799,0.125
COMMD10,8,1,99703,30028272,0.02625579484160799,0.125
DOCK2,96,12,99703,30028272,8.661951482216964e-16,0.125
PRRC2A,8,1,99703,30028272,0.02625579484160799,0.125
SSBP2,34,4,99703,30028272,5.2045413904117e-06,0.11764705882352941
ETV7,17,2,99703,30028272,0.001450383490944524,0.11764705882352941
CD58,738,86,99703,30028272,8.033147663603027e-101,0.11653116531165311
TXK,69,8,99703,30028272,1.031273383128383e-10,0.11594202898550725
PRKCD,87,10,99703,30028272,5.161086047803687e-13,0.11494252873563218
LAMTOR5,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
MAN1A2,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
GON4L,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
RAB11FIP5,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
PTCD3,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
LNP1,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
ZXDC,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
STAP1,18,2,99703,30028272,0.0016280847815973482,0.1111111111111111
SLC25A31,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
TBC1D9,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
AK9,9,1,99703,30028272,0.029488922753502293,0.1111111111111111
KLF3,65,7,99703,30028272,2.616358912106025e-09,0.1076923076923077
MYSM1,38,4,99703,30028272,8.196525649781798e-06,0.10526315789473684
FBXO11,57,6,99703,30028272,4.204761298282015e-08,0.10526315789473684
ELF2,39,4,99703,30028272,9.109104215913668e-06,0.10256410256410256
BTLA,322,33,99703,30028272,7.497583146339934e-38,0.10248447204968944
CD200,608,62,99703,30028272,1.7169602350255265e-69,0.10197368421052631
LCE1C,10,1,99703,30028272,0.03271131580140887,0.1
ETV3,10,1,99703,30028272,0.03271131580140887,0.1
LIMS2,10,1,99703,30028272,0.03271131580140887,0.1
RAPH1,10,1,99703,30028272,0.03271131580140887,0.1
TNIP2,10,1,99703,30028272,0.03271131580140887,0.1
FRYL,10,1,99703,30028272,0.03271131580140887,0.1
SPINK2,10,1,99703,30028272,0.03271131580140887,0.1
ADAM29,30,3,99703,30028272,0.0001389550755018211,0.1
TMED7,10,1,99703,30028272,0.03271131580140887,0.1
MXD3,10,1,99703,30028272,0.03271131580140887,0.1
SNAP91,10,1,99703,30028272,0.03271131580140887,0.1
HLA-DRA,285,27,99703,30028272,2.5282036804260698e-30,0.09473684210526316
DUSP22,53,5,99703,30028272,1.013986487225072e-06,0.09433962264150944
FCRL3,118,11,99703,30028272,3.7331925698413753e-13,0.09322033898305085
EFHD2,33,3,99703,30028272,0.0001853487272651115,0.09090909090909091
XKR8,11,1,99703,30028272,0.035923009627641875,0.09090909090909091
ZFYVE9,11,1,99703,30028272,0.035923009627641875,0.09090909090909091
USP24,22,2,99703,30028272,0.0024365023937497816,0.09090909090909091
MARC2,11,1,99703,30028272,0.035923009627641875,0.09090909090909091
CNRIP1,11,1,99703,30028272,0.035923009627641875,0.09090909090909091
SEPT10,11,1,99703,30028272,0.035923009627641875,0.09090909090909091
CYTIP,11,1,99703,30028272,0.035923009627641875,0.09090909090909091
PXK,33,3,99703,30028272,0.0001853487272651115,0.09090909090909091
