target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
CCDC27,1,0,655,30453397,1.0,0.0
SMIM1,20,0,655,30453397,1.0,0.0
LRRC47,1,0,655,30453397,1.0,0.0
RP1-286D6.5,0,0,655,30453397,1.0,0.0
CEP104,9,0,655,30453397,1.0,0.0
DFFB,24,0,655,30453397,1.0,0.0
C1orf174,2,0,655,30453397,1.0,0.0
LINC01134,0,0,655,30453397,1.0,0.0
RP13-614K11.1,0,0,655,30453397,1.0,0.0
RP13-614K11.2,0,0,655,30453397,1.0,0.0
RP5-1166F10.1,0,0,655,30453397,1.0,0.0
RP1-37J18.1,0,0,655,30453397,1.0,0.0
RP1-37J18.2,0,0,655,30453397,1.0,0.0
AJAP1,44,0,655,30453397,1.0,0.0
RP11-542C10.1,0,0,655,30453397,1.0,0.0
RP1-58B11.1,0,0,655,30453397,1.0,0.0
RP11-154H17.1,0,0,655,30453397,1.0,0.0
NPHP4,68,0,655,30453397,1.0,0.0
KCNAB2,17,0,655,30453397,1.0,0.0
AL035406.1,0,0,655,30453397,1.0,0.0
CHD5,91,0,655,30453397,1.0,0.0
RPL22,109,0,655,30453397,1.0,0.0
RP1-120G22.11,0,0,655,30453397,1.0,0.0
RNF207,8,0,655,30453397,1.0,0.0
ICMT,158,0,655,30453397,1.0,0.0
LINC00337,3,0,655,30453397,1.0,0.0
HES3,74,0,655,30453397,1.0,0.0
GPR153,8,0,655,30453397,1.0,0.0
ACOT7,26,0,655,30453397,1.0,0.0
RP1-202O8.3,0,0,655,30453397,1.0,0.0
HES2,44,0,655,30453397,1.0,0.0
ESPN,71,0,655,30453397,1.0,0.0
RP1-202O8.2,0,0,655,30453397,1.0,0.0
TNFRSF25,71,0,655,30453397,1.0,0.0
PLEKHG5,15,0,655,30453397,1.0,0.0
NOL9,5,0,655,30453397,1.0,0.0
TAS1R1,47,0,655,30453397,1.0,0.0
ZBTB48,1,0,655,30453397,1.0,0.0
KLHL21,5,0,655,30453397,1.0,0.0
PHF13,7,0,655,30453397,1.0,0.0
THAP3,2,0,655,30453397,1.0,0.0
DNAJC11,6,0,655,30453397,1.0,0.0
RP11-242F24.1,0,0,655,30453397,1.0,0.0
RP11-312B8.1,0,0,655,30453397,1.0,0.0
CAMTA1,96,0,655,30453397,1.0,0.0
RP11-334N17.1,0,0,655,30453397,1.0,0.0
RP3-453P22.2,0,0,655,30453397,1.0,0.0
RP4-549F15.1,0,0,655,30453397,1.0,0.0
RP11-338N10.1,0,0,655,30453397,1.0,0.0
RP11-338N10.2,0,0,655,30453397,1.0,0.0
RP11-338N10.3,0,0,655,30453397,1.0,0.0
VAMP3,120,0,655,30453397,1.0,0.0
PER3,414,0,655,30453397,1.0,0.0
RP3-467L1.4,0,0,655,30453397,1.0,0.0
UTS2,29,0,655,30453397,1.0,0.0
TNFRSF9,90,0,655,30453397,1.0,0.0
PARK7,322,0,655,30453397,1.0,0.0
ERRFI1,46,0,655,30453397,1.0,0.0
RP11-431K24.1,0,0,655,30453397,1.0,0.0
RP11-431K24.3,0,0,655,30453397,1.0,0.0
RP11-431K24.4,0,0,655,30453397,1.0,0.0
SLC45A1,6,0,655,30453397,1.0,0.0
RERE,61,0,655,30453397,1.0,0.0
RP5-1115A15.1,0,0,655,30453397,1.0,0.0
RP4-633I8.4,0,0,655,30453397,1.0,0.0
ENO1,388,0,655,30453397,1.0,0.0
ENO1-AS1,0,0,655,30453397,1.0,0.0
CA6,120,0,655,30453397,1.0,0.0
SLC2A7,4,0,655,30453397,1.0,0.0
SLC2A5,50,0,655,30453397,1.0,0.0
GPR157,2,0,655,30453397,1.0,0.0
RP3-510D11.1,0,0,655,30453397,1.0,0.0
RP3-510D11.2,0,0,655,30453397,1.0,0.0
H6PD,59,0,655,30453397,1.0,0.0
SPSB1,19,0,655,30453397,1.0,0.0
RP13-392I16.1,0,0,655,30453397,1.0,0.0
SLC25A33,5,0,655,30453397,1.0,0.0
TMEM201,2,0,655,30453397,1.0,0.0
PIK3CD,142,0,655,30453397,1.0,0.0
C1orf200,0,0,655,30453397,1.0,0.0
RP11-558F24.4,0,0,655,30453397,1.0,0.0
CLSTN1,18,0,655,30453397,1.0,0.0
CTNNBIP1,28,0,655,30453397,1.0,0.0
RP11-84A14.5,0,0,655,30453397,1.0,0.0
LZIC,10,0,655,30453397,1.0,0.0
NMNAT1,86,0,655,30453397,1.0,0.0
RBP7,28,0,655,30453397,1.0,0.0
UBE4B,56,0,655,30453397,1.0,0.0
KIF1B,122,0,655,30453397,1.0,0.0
PGD,3685,0,655,30453397,1.0,0.0
RP4-736L20.3,0,0,655,30453397,1.0,0.0
APITD1,4,0,655,30453397,1.0,0.0
APITD1-CORT,0,0,655,30453397,1.0,0.0
CORT,2884,0,655,30453397,1.0,0.0
DFFA,100,0,655,30453397,1.0,0.0
RP5-1113E3.3,0,0,655,30453397,1.0,0.0
PEX14,125,0,655,30453397,1.0,0.0
CASZ1,51,0,655,30453397,1.0,0.0
RP4-734G22.3,0,0,655,30453397,1.0,0.0
C1orf127,0,0,655,30453397,1.0,0.0
TARDBP,386,0,655,30453397,1.0,0.0
MASP2,157,0,655,30453397,1.0,0.0
RP4-635E18.8,0,0,655,30453397,1.0,0.0
SRM,4553,0,655,30453397,1.0,0.0
EXOSC10,20,0,655,30453397,1.0,0.0
