target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
B4GALT3,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
MAP4K3,48,4,226659,30028272,0.0004845765978950155,0.08333333333333333
SPATS2L,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
CAMK1,24,2,226659,30028272,0.014083643618512928,0.08333333333333333
JAGN1,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
ZDHHC3,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
DGKG,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
C1QTNF3,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
GALNT10,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
HNRNPAB,12,1,226659,30028272,0.08691092170177935,0.08333333333333333
SERPINB9,36,3,226659,30028272,0.002548936493944355,0.08333333333333333
IL22RA2,24,2,226659,30028272,0.014083643618512928,0.08333333333333333
BCL2L11,181,15,226659,30028272,1.4010793776357459e-11,0.08287292817679558
RFX5,109,9,226659,30028272,1.7190803476929165e-07,0.08256880733944955
NRM,1326,109,226659,30028272,8.395848575291556e-74,0.08220211161387632
JAK1,2181,178,226659,30028272,8.685851749356676e-119,0.08161393856029345
REL,4215,343,226659,30028272,1.2199864433700896e-226,0.08137603795966786
STIL,197,16,226659,30028272,4.029414246796247e-12,0.08121827411167512
MYD88,6284,510,226659,30028272,0.0,0.08115849777211967
RASGRF2,37,3,226659,30028272,0.002758340533722756,0.08108108108108109
STAT1,6494,521,226659,30028272,0.0,0.08022790267939636
TAP2,612,49,226659,30028272,1.2819239774545017e-33,0.08006535947712418
BARHL2,25,2,226659,30028272,0.015232358145233327,0.08
FCRL1,25,2,226659,30028272,0.015232358145233327,0.08
GPA33,25,2,226659,30028272,0.015232358145233327,0.08
ABL2,125,10,226659,30028272,4.836234421890394e-08,0.08
MOB1A,25,2,226659,30028272,0.015232358145233327,0.08
RUNX3,1043,83,226659,30028272,1.5909441966414687e-55,0.07957813998082454
ID2,986,78,226659,30028272,4.250255184326237e-52,0.07910750507099391
PLXND1,38,3,226659,30028272,0.002978039115929284,0.07894736842105263
PAK2,317,25,226659,30028272,8.653380674924612e-18,0.07886435331230283
NFKBIZ,51,4,226659,30028272,0.0006112685078336313,0.0784313725490196
BCLAF1,64,5,226659,30028272,0.00012900213111420328,0.078125
TLR5,1367,106,226659,30028272,2.823238519717653e-69,0.07754206291148501
IFNGR1,258,20,226659,30028272,2.1400360351522e-14,0.07751937984496124
MIA3,26,2,226659,30028272,0.016419903858177157,0.07692307692307693
STARD7,26,2,226659,30028272,0.016419903858177157,0.07692307692307693
SAP130,26,2,226659,30028272,0.016419903858177157,0.07692307692307693
INPP5D,52,4,226659,30028272,0.0006582578588720801,0.07692307692307693
SEC61A1,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
JAKMIP1,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
EXOC1,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
CETN3,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
ETF1,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
DBN1,26,2,226659,30028272,0.016419903858177157,0.07692307692307693
TRIM41,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
HLA-F,195,15,226659,30028272,4.054403848485218e-11,0.07692307692307693
DDX43,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
MAN1A1,13,1,226659,30028272,0.09380309119238579,0.07692307692307693
FHL3,79,6,226659,30028272,3.20828120172703e-05,0.0759493670886076
DAP3,53,4,226659,30028272,0.0007077476860320966,0.07547169811320754
LMO4,146,11,226659,30028272,1.9478039589117142e-08,0.07534246575342465
MOBP,93,7,226659,30028272,7.499528841800223e-06,0.07526881720430108
TCTA,93,7,226659,30028272,7.499528841800223e-06,0.07526881720430108
ALK,7118,532,226659,30028272,0.0,0.07474009553245294
CX3CR1,1506,111,226659,30028272,3.72346570552945e-70,0.07370517928286853
TNIK,68,5,226659,30028272,0.00017202362000523567,0.07352941176470588
ELK4,41,3,226659,30028272,0.0037004787715464033,0.07317073170731707
SKIL,41,3,226659,30028272,0.0037004787715464033,0.07317073170731707
PREB,219,16,226659,30028272,2.0003231216532287e-11,0.0730593607305936
CLPS,441,32,226659,30028272,3.079947869776048e-21,0.07256235827664399
ZBTB17,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
BCL9,126,9,226659,30028272,5.918490122370205e-07,0.07142857142857142
OAZ3,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
FCRL5,28,2,226659,30028272,0.018908889856618732,0.07142857142857142
DNM3OS,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
FAM129A,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
CDK18,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
OPN3,28,2,226659,30028272,0.018908889856618732,0.07142857142857142
EIF2B4,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
STK17B,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
CFLAR,126,9,226659,30028272,5.918490122370205e-07,0.07142857142857142
ADAMTS19,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
PPP1R11,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
GTPBP2,14,1,226659,30028272,0.10064323750866398,0.07142857142857142
MUC1,3781,270,226659,30028272,2.038992751143774e-164,0.07140967997884158
FCER1A,71,5,226659,30028272,0.00021087961229552835,0.07042253521126761
IL12B,483,34,226659,30028272,4.789393115246974e-22,0.07039337474120083
IRF1,712,50,226659,30028272,1.3573725410444133e-31,0.0702247191011236
IL1RAP,57,4,226659,30028272,0.000932171959950097,0.07017543859649122
TLR2,8597,602,226659,30028272,0.0,0.07002442712574154
EVI5,43,3,226659,30028272,0.004236370870920449,0.06976744186046512
CTSE,43,3,226659,30028272,0.004236370870920449,0.06976744186046512
REG1A,43,3,226659,30028272,0.004236370870920449,0.06976744186046512
CSF2,258,18,226659,30028272,2.477651198767973e-12,0.06976744186046512
ERAP2,115,8,226659,30028272,3.042734487612879e-06,0.06956521739130435
MGAT1,130,9,226659,30028272,7.702368531893825e-07,0.06923076923076923
EIF3I,29,2,226659,30028272,0.020209049633833336,0.06896551724137931
ZC3H12A,58,4,226659,30028272,0.0009952597592440045,0.06896551724137931
IFI44,73,5,226659,30028272,0.00024026715378193744,0.0684931506849315
SNX27,73,5,226659,30028272,0.00024026715378193744,0.0684931506849315
CXCL2,1273,87,226659,30028272,1.0021206963477385e-52,0.06834249803613511
REG3G,44,3,226659,30028272,0.004521012409681907,0.06818181818181818
TRIM59,44,3,226659,30028272,0.004521012409681907,0.06818181818181818
AIMP1,59,4,226659,30028272,0.0010612865602201344,0.06779661016949153
HLA-DMA,59,4,226659,30028272,0.0010612865602201344,0.06779661016949153
GBP2,74,5,226659,30028272,0.0002560778273264045,0.06756756756756757
TNF,147318,9892,226659,30028272,0.0,0.06714725966955837
CMPK1,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
ZNF644,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
FCRL2,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
TRIM58,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
KCNK12,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
REG1B,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
SLC39A10,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
PARD3B,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
AP1S3,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
ARL8B,30,2,226659,30028272,0.021545477986421195,0.06666666666666667
NUP210,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
LRRFIP2,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
PCOLCE2,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
ZNF300,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
STK10,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
