target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
CCL27,213,71,226659,30028272,3.1977429828024714e-94,0.3333333333333333
CD274,309,103,226659,30028272,6.874651796684587e-136,0.3333333333333333
CD300LB,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
COMMD3-BMI1,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
DEF6,21,7,226659,30028272,1.479456509450219e-10,0.3333333333333333
ENTPD7,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
EXOSC5,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
FBXO10,9,3,226659,30028272,3.491581895851141e-05,0.3333333333333333
GIMAP1,12,4,226659,30028272,1.530875049314873e-06,0.3333333333333333
HSH2D,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
IFNA14,6,2,226659,30028272,0.0008375664283786257,0.3333333333333333
KRBA2,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
MAGED4B,6,2,226659,30028272,0.0008375664283786257,0.3333333333333333
MARCH4,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
METTL10,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
MFSD4,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
NOL6,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
OCSTAMP,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
OSGEPL1,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
PHF15,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
RAB11FIP2,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
SH2D4A,9,3,226659,30028272,3.491581895851141e-05,0.3333333333333333
SH2D4B,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
SLFN13,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TAL2,33,11,226659,30028272,7.527075492028918e-16,0.3333333333333333
TBC1D10C,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TBC1D8,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TMEM131,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TMEM56,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TRAM1L1,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
U2AF1L4,6,2,226659,30028272,0.0008375664283786257,0.3333333333333333
WDR17,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
WIPF2,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
ZBTB1,12,4,226659,30028272,1.530875049314873e-06,0.3333333333333333
ZBTB25,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
ZBTB44,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
ZNF419,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
ZNF433,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
PDCD1,233,77,226659,30028272,1.0783352394291507e-101,0.33047210300429186
CXCR5,914,300,226659,30028272,0.0,0.3282275711159737
CXCR3,2705,872,226659,30028272,0.0,0.32236598890942697
TNFRSF9,87,28,226659,30028272,1.2279405617665877e-37,0.3218390804597701
EOMES,424,136,226659,30028272,3.833761929469454e-176,0.32075471698113206
VSIG4,50,16,226659,30028272,4.288651326205107e-22,0.32
TXK,69,22,226659,30028272,8.592604182235578e-30,0.3188405797101449
THEMIS,91,29,226659,30028272,8.832648231234795e-39,0.31868131868131866
KIR3DL2,132,42,226659,30028272,2.0302249523977573e-55,0.3181818181818182
IL7R,255,81,226659,30028272,3.074933921752235e-105,0.3176470588235294
CD40,11875,3761,226659,30028272,0.0,0.31671578947368423
CD244,193,61,226659,30028272,1.5830847394062787e-79,0.3160621761658031
CCR4,1852,581,226659,30028272,0.0,0.31371490280777536
CD5,5972,1866,226659,30028272,0.0,0.31245813797722705
ICOSLG,29,9,226659,30028272,6.950245209052703e-13,0.3103448275862069
IKZF2,29,9,226659,30028272,6.950245209052703e-13,0.3103448275862069
CD247,66,20,226659,30028272,1.0510066144148347e-26,0.30303030303030304
CCR6,1261,381,226659,30028272,0.0,0.3021411578112609
RORC,385,116,226659,30028272,8.092303476290353e-147,0.3012987012987013
C1GALT1C1,10,3,226659,30028272,4.9598013916942755e-05,0.3
KLRC2,10,3,226659,30028272,4.9598013916942755e-05,0.3
RAP1GDS1,20,6,226659,30028272,6.546085695159156e-09,0.3
TRAF3IP3,10,3,226659,30028272,4.9598013916942755e-05,0.3
TNFSF14,118,35,226659,30028272,3.2982947005826914e-45,0.2966101694915254
CCL21,1105,326,226659,30028272,0.0,0.29502262443438915
BATF,139,41,226659,30028272,1.4438590876354947e-52,0.2949640287769784
IL21R,68,20,226659,30028272,2.0921307129143662e-26,0.29411764705882354
TCF7,178,52,226659,30028272,5.646076563767403e-66,0.29213483146067415
LMO2,447,130,226659,30028272,5.326307104719786e-162,0.29082774049217003
ANKRD22,7,2,226659,30028272,0.0011667073606357046,0.2857142857142857
ASTE1,7,2,226659,30028272,0.0011667073606357046,0.2857142857142857
CLNK,14,4,226659,30028272,3.0585755059847366e-06,0.2857142857142857
CTSW,7,2,226659,30028272,0.0011667073606357046,0.2857142857142857
GIMAP6,7,2,226659,30028272,0.0011667073606357046,0.2857142857142857
IL17C,21,6,226659,30028272,9.105341712866848e-09,0.2857142857142857
NKX6-3,7,2,226659,30028272,0.0011667073606357046,0.2857142857142857
PRSS16,21,6,226659,30028272,9.105341712866848e-09,0.2857142857142857
RASAL3,7,2,226659,30028272,0.0011667073606357046,0.2857142857142857
RAG1,1663,475,226659,30028272,0.0,0.285628382441371
RAG2,1532,437,226659,30028272,0.0,0.28524804177545693
CD2,10145,2869,226659,30028272,0.0,0.28279940857565306
CCL19,944,265,226659,30028272,1.5e-323,0.2807203389830508
FOXN1,333,93,226659,30028272,1.5559392521952726e-114,0.27927927927927926
CCR10,258,72,226659,30028272,4.783255473557267e-89,0.27906976744186046
CD52,852,237,226659,30028272,1.6890015254075002e-288,0.27816901408450706
LILRB4,29,8,226659,30028272,3.926617441422961e-11,0.27586206896551724
FGFBP2,11,3,226659,30028272,6.781222946853878e-05,0.2727272727272727
MARCH8,33,9,226659,30028272,2.6046097441984836e-12,0.2727272727272727
CD72,228,62,226659,30028272,3.992519569149377e-76,0.2719298245614035
TNFRSF18,37,10,226659,30028272,1.736423840285019e-13,0.2702702702702703
SEMA4A,71,19,226659,30028272,2.845583320651064e-24,0.2676056338028169
IDO2,101,27,226659,30028272,7.659675124306506e-34,0.26732673267326734
CD226,221,59,226659,30028272,5.454702458385221e-72,0.2669683257918552
CLEC9A,75,20,226659,30028272,1.9456209477457955e-25,0.26666666666666666
MARCH1,45,12,226659,30028272,7.809832195115422e-16,0.26666666666666666
SLFN12,15,4,226659,30028272,4.145663850036163e-06,0.26666666666666666
TAGAP,49,13,226659,30028272,5.262628479048136e-17,0.2653061224489796
XCR1,132,35,226659,30028272,2.9132052248020156e-43,0.26515151515151514
TNFSF9,34,9,226659,30028272,3.5182465406123324e-12,0.2647058823529412
NFATC2,280,74,226659,30028272,1.752259858381808e-89,0.2642857142857143
MAP4K1,19,5,226659,30028272,2.608433338432872e-07,0.2631578947368421
PTPN2,195,51,226659,30028272,6.049322150743971e-62,0.26153846153846155
CD48,454,118,226659,30028272,1.1965558945823612e-140,0.2599118942731278
